Test                Before              After               BeforeOpt           AfterOpt            Frees               FreesOpt            
unused              233                 4184                233                 4184                1218                1218                
nested_lc_gen_opt   1598                4184                1598                4184                1591                1591                
nested_lc_gen       1598                4184                1598                4184                1554                1554                
intermediary_list3  233                 10957               233                 10957               32426               32426               
intermediary_list2  233                 10957               233                 10957               16196               16196               
intermediary_list   233                 4185                233                 4185                13016               13016               
make_n              233                 3196                233                 3196                1073                1073                
sorted_gen          4185                13544               4185                13544               7436                7436                
function_param      1598                6771                1598                6771                3134                3134                
record_extract      4185                4185                4185                4185                0                   0                   
single_filter       1598                1598                1598                1598                547                 547                 
pen2_lazy_cps       233                 318187              233                 318187              3513805             3513805             
pen2_lazy           233                 318187              233                 318187              2259048             2259048             
pen2_mr             233                 318187              233                 318187              882298              882298              
pen2_listsfuns      233                 833025              233                 833025              442664              442664              
pen2_foldl          233                 514837              233                 514837              324506              324506              
pen2_foldr          233                 393300              233                 393300              354628              354628              
pen2_dumb_opt       233                 318187              233                 318187              182                 182                 
pen2_dumb           233                 318187              233                 318187              23                  23                  
pen2                233                 318187              233                 318187              251023              251023              
pen                 233                 833025              233                 833025              413314              413314              
pyth3               233                 609                 233                 609                 318                 318                 
pyth2               233                 2585                233                 2585                3937566             3937566             
pyth1               233                 2585                233                 2585                650608              650608              
pyth                233                 2585                233                 2585                3937068             3937068             
ses                 233                 1598                233                 1598                357                 357                 
ss                  233                 3196                233                 3196                1068                1068                
